110.000,70.000
110.973,71.250
111.488,72.597
111.520,73.307
111.184,73.921
110.837,74.132
109.344,74.624
108.996,74.640
107.483,74.147
105.209,73.141
103.006,72.761
102.178,72.464
101.372,72.633
100.693,73.154
100.125,73.817
99.457,74.883
98.801,76.297
98.074,78.162
98.077,79.466
98.553,80.463
99.279,81.255
100.068,81.148
100.854,80.578
101.860,79.477
103.708,76.696
104.407,75.105
104.642,74.047
104.423,72.873
104.613,72.233
106.133,70.715
106.754,70.351
107.412,70.184
108.722,70.383
109.043,70.325
109.437,70.087
109.666,69.759
