1.100000000000000142e+02 7.000000000000000000e+01
1.109727629443649874e+02 7.124962344402528913e+01
1.114882369577136387e+02 7.259711231408279275e+01
1.115200544506454889e+02 7.330680805876755812e+01
1.111835616902476147e+02 7.392059337409057207e+01
1.108366691206304182e+02 7.413151087124673211e+01
1.093436189840942063e+02 7.462352071102061757e+01
1.089960969814819549e+02 7.463997833336861731e+01
1.074825291911281937e+02 7.414706989526257530e+01
1.052091765386112883e+02 7.314121493597306767e+01
1.030061237349529506e+02 7.276076112548491892e+01
1.021782916408396460e+02 7.246418102922991977e+01
1.013720893248161445e+02 7.263251188611029363e+01
1.006929601077944625e+02 7.315402846582125562e+01
1.001250761249824848e+02 7.381680915451038061e+01
9.945693340613532030e+01 7.488254243907144314e+01
9.880075927823314430e+01 7.629665550164578747e+01
9.807372933781061874e+01 7.816228585259901251e+01
9.807741778820683010e+01 7.946580974690307642e+01
9.855273819260571599e+01 8.046337432932091360e+01
9.927872849712173320e+01 8.125450832195022599e+01
1.000684282792082342e+02 8.114848293898617726e+01
1.008542532110544698e+02 8.057762933591783394e+01
1.018600885557229674e+02 7.947706721462256496e+01
1.037075672601577310e+02 7.669643454117222348e+01
1.044074321497101892e+02 7.510512049328525563e+01
1.046416410143726381e+02 7.404660359990855056e+01
1.044233261830306958e+02 7.287348420383472103e+01
1.046134050992511959e+02 7.223298545856911801e+01
1.061326329152963979e+02 7.071503095348167278e+01
1.067542879805236140e+02 7.035095583776950434e+01
1.074121576594228600e+02 7.018404395997646361e+01
1.087218813969775510e+02 7.038298333467518830e+01
1.090430997938019573e+02 7.032499050756230474e+01
1.094368568267079098e+02 7.008677253339189406e+01
1.096656400633541040e+02 6.975868266588076949e+01
