118.318,61.682
116.301,61.606
115.179,61.429
114.244,61.081
113.594,60.746
112.271,59.877
110.983,58.809
109.809,57.622
108.826,56.396
108.263,55.497
107.959,54.774
107.856,54.210
107.941,53.170
108.276,52.321
108.848,51.385
109.408,50.854
109.782,50.695
110.431,50.647
111.024,50.770
112.459,51.370
114.080,52.340
115.708,53.544
117.158,54.834
118.242,56.058
118.809,56.971
119.910,59.391
120.286,60.671
120.397,61.768
120.020,62.623
119.104,63.008
118.210,63.252
116.285,63.478
114.209,63.397
112.012,63.065
109.717,62.540
105.563,61.350
104.007,60.774
103.279,60.408
102.555,59.916
