118.318,61.682
123.034,65.974
124.530,66.857
125.283,67.168
126.035,67.375
127.168,67.467
127.323,67.359
127.311,66.863
127.079,66.411
125.136,63.407
124.128,61.536
123.828,60.726
123.755,59.568
123.935,59.221
124.297,58.882
124.548,58.803
125.021,58.875
125.457,59.097
126.015,59.484
127.704,60.911
128.414,61.657
128.834,62.224
129.166,62.923
129.244,63.397
129.153,63.768
128.928,64.006
128.595,64.112
128.174,64.103
127.132,63.810
125.928,63.263
124.684,62.591
120.987,60.463
120.026,60.028
119.426,59.902
118.071,60.056
117.727,60.306
117.736,60.622
117.908,61.059
118.065,61.268
